key,title,upload_date,view_count,like_count,tags,description,thumbnail,title_extracted_entities,Final Dx,Topics,Chief Complaint
"https://www.youtube.com/watch?v=0Oey84VAJVE
","June 6, 2025 VMR with Rabih & Elena - sudden onset chest pain and SOB",20250606,449,11,[],"VMR  Schedule Survey: https://docs.google.com/forms/d/e/1FAIpQLSeeOMvBA_Aqw3tXwINPXRqirO2j51Lvo7R9_u2jJKzavs_WBA/viewform 

Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/joinn",https://i.ytimg.com/vi/0Oey84VAJVE/maxresdefault.jpg,"[{'text': 'Elena', 'umls_cui': 'C0025222', 'semantic_type': 'T046'}, {'text': 'sudden onset chest pain', 'umls_cui': 'C1276802', 'semantic_type': 'T079'}, {'text': 'SOB', 'umls_cui': 'C0013404', 'semantic_type': 'T184'}]",,,
"https://www.youtube.com/watch?v=vN4xfXb5KHE
","May 28, 2025 Nephrology VMR with Dr. Rich Snyder - seizure",20250529,422,13,[],"VMR  Schedule Survey: https://docs.google.com/forms/d/e/1FAIpQLSeeOMvBA_Aqw3tXwINPXRqirO2j51Lvo7R9_u2jJKzavs_WBA/viewform 

Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/joinn",https://i.ytimg.com/vi/vN4xfXb5KHE/maxresdefault.jpg,"[{'text': 'Nephrology', 'umls_cui': 'C0027712', 'semantic_type': 'T091'}, {'text': 'seizure', 'umls_cui': 'C0036572', 'semantic_type': 'T184'}]",,,
"https://www.youtube.com/watch?v=BLQYMx2LNlk
","February 11, 2025 Neuro VMR - confusion",20250211,497,13,[],"VMR  Schedule Survey: https://docs.google.com/forms/d/e/1FAIpQLSeeOMvBA_Aqw3tXwINPXRqirO2j51Lvo7R9_u2jJKzavs_WBA/viewform 

Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/joinn",https://i.ytimg.com/vi/BLQYMx2LNlk/maxresdefault.jpg,"[{'text': 'confusion', 'umls_cui': 'C0009676', 'semantic_type': 'T048'}]",Gallstones Pancreatitis,,
"https://www.youtube.com/watch?v=X5Q9tLCI_Zw
","November 19, 2021 VMR - chest pain and syncope",20211119,619,18,[],"Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi/X5Q9tLCI_Zw/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AHUBoACygOKAgwIABABGGUgVShPMA8=&rs=AOn4CLCnbvpNU8Y0W_bcXH1lzAKfgtHekw,"[{'text': 'chest pain', 'umls_cui': 'C0008031', 'semantic_type': 'T184'}, {'text': 'syncope', 'umls_cui': 'C0039070', 'semantic_type': 'T184'}]",Thrombocytopenia and anemia,,
"https://www.youtube.com/watch?v=9gDDqrSlFW8
","November 17, 2021 VMR - progressively worsening back pain",20211118,285,10,[],"Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi/9gDDqrSlFW8/maxresdefault.jpg,"[{'text': 'progressively', 'umls_cui': 'C0205329', 'semantic_type': 'T169'}, {'text': 'worsening', 'umls_cui': 'C0332271', 'semantic_type': 'T080'}, {'text': 'back pain', 'umls_cui': 'C0004604', 'semantic_type': 'T184'}]",Staph associated glomerulonephritis with spondylosis,,
"https://www.youtube.com/watch?v=CgL3WSm2pPQ
","November 13, 2021 IMG VMR w/University of Maryland Midtown Campus - abdominal pain & hypercalcemia",20211114,401,14,[],"Chief complaint: abdominal pain and hypercalcemia

Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi/CgL3WSm2pPQ/hqdefault.jpg,"[{'text': 'Maryland Midtown', 'umls_cui': 'C0024858', 'semantic_type': 'T083'}, {'text': 'abdominal pain', 'umls_cui': 'C0000737', 'semantic_type': 'T184'}, {'text': 'hypercalcemia', 'umls_cui': 'C0020437', 'semantic_type': 'T047'}]",Milk-Alkali Syndrome,,
"https://www.youtube.com/watch?v=LhZ5S65QUXs
","November 12, 2021 VMR: sudden vision loss",20211113,282,8,[],"Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi/LhZ5S65QUXs/hqdefault.jpg,"[{'text': 'sudden vision loss', 'umls_cui': 'C0456909', 'semantic_type': 'T047'}]",Metastatic MSSA w/ endophthalmitis and multiple lung abscesses,,
"https://www.youtube.com/watch?v=XVnOS5XlE1g
","November 11, 2021 ""30-minute Thursday VMR"" - loss of consciousness",20211111,329,12,[],"Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi_webp/XVnOS5XlE1g/maxresdefault.webp,"[{'text': 'loss of consciousness', 'umls_cui': 'C0041657', 'semantic_type': 'T033'}]",Urticarial rash,,
"https://www.youtube.com/watch?v=B3oQAeRJkAU
","November 10, 2021 VMR - severe diffuse abdominal pain with diffuse itchy maculopapular rash",20211110,384,7,[],"Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi/B3oQAeRJkAU/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AHeDYAChAeKAgwIABABGGUgVShLMA8=&rs=AOn4CLBZofq23JglsM3sF5WQrMsSDrjEvg,"[{'text': 'severe', 'umls_cui': 'C0205082', 'semantic_type': 'T033'}, {'text': 'diffuse', 'umls_cui': 'C0205219', 'semantic_type': 'T082'}, {'text': 'abdominal pain', 'umls_cui': 'C0000737', 'semantic_type': 'T184'}, {'text': 'diffuse itchy', 'umls_cui': 'C0205219', 'semantic_type': 'T082'}, {'text': 'maculopapular rash', 'umls_cui': 'C0423791', 'semantic_type': 'T033'}]",Dengue,,
"https://www.youtube.com/watch?v=3PI4nZRoPD8
","November 9, 2021 Neuro VMR - difficulty walking",20211109,398,11,[],"Do you want to get access to even more VMRs? 
Please go to our website: https://clinicalproblemsolving.com/learn-live/

Join this channel to get access to perks:
https://www.youtube.com/channel/UC8gFr9CU4Bgh0L3v0XQtuwA/join",https://i.ytimg.com/vi/3PI4nZRoPD8/maxresdefault.jpg,"[{'text': 'difficulty', 'umls_cui': 'C1299586', 'semantic_type': 'T033'}, {'text': 'walking', 'umls_cui': 'C0080331', 'semantic_type': 'T056'}]",,,
